Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
Väg 705/Pumpvägen,Hede,x,x,x,x,x,60.24056,16.43167
Åsvägen,Horndal,x,x,x,x,x,60.29389,16.40861
Handelsträdgården,Karlbo,x,x,x,x,x,60.11889,16.24667
Karlfeldtsgården,Karlbo,x,x,x,x,x,60.12472,16.25167
Coop Konsum,Krylbo,x,x,x,x,x,60.13111,16.21278
Stationsgatan,Krylbo,x,x,x,x,x,60.13278,16.21556
Nordanöleden,Nordanö,x,x,x,x,x,60.14778,16.23833
Utanför Näs Verkstäder,Näs,x,x,x,x,x,60.17806,16.47889
Tempo,Skogsbo,x,x,x,x,x,60.15806,16.18056
Högboleden vid info skylten,Skogsbo-Åsbo,x,x,x,x,x,60.15222,16.19889
A-Loppis / Leklandet,Borlänge,x,x,x,x,x,60.47250,15.44750
Tjärna ängar,Borlänge,x,x,x,x,x,60.49500,15.40028
P-plats Coop Forum,Borlänge,x,x,x,x,x,60.46361,15.47611
Kälarvet,Borlänge,x,x,x,x,x,60.48500,15.46611
Mjälgavägen/Årby,Borlänge,x,x,x,x,x,60.47861,15.45861
Medväga,Borlänge,x,x,x,x,x,60.52167,15.43722
Bullermyren,Borlänge,x,x,x,x,x,60.49389,15.42222
Sulfitvägen Kvarnsveden,Borlänge,x,x,x,x,x,60.51750,15.41889
Norr Amsberg,Borlänge,x,x,x,x,x,60.52917,15.35472
Domnarvets centrum,Borlänge,x,x,x,x,x,60.49861,15.45833
"Tjärna, Ekorrstigen",Borlänge,x,x,x,x,x,60.49778,15.39750
"Skräddarbacken, Gös Eriks väg",Borlänge,x,x,x,x,x,60.46528,15.36694
"Jakobsgårdarna, Jaxtorget",Borlänge,x,x,x,x,x,60.48417,15.40444
"Skräddarbacken, Kalles väg",Borlänge,x,x,x,x,x,60.47694,15.37389
"Centrum, Maxim",Borlänge,x,x,x,x,x,60.48417,15.43694
Nygårdarna,Borlänge,x,x,x,x,x,60.47583,15.39278
Forssa,Borlänge,x,x,x,x,x,60.50194,15.42861
"Skräddarbacken, Pligg Eriks väg",Borlänge,x,x,x,x,x,60.46889,15.36056
"Hagalund,Tångringsgatan",Borlänge,x,x,x,x,x,60.48806,15.42139
"Hagalund, Vasagatan",Borlänge,x,"",x,x,x,60.48639,15.42611
Åselby ,Borlänge,x,x,x,x,x,60.46417,15.45306
ICA Ornäs,Ornäs,x,x,x,x,x,60.50861,15.54194
Romme ,Romme,x,x,x,x,x,60.44083,15.49139
ICA Sellnäs,Sellnäs,x,x,x,x,x,60.40972,15.38194
Idkerberget,Idkeberget,x,x,x,x,x,60.37778,15.22861
Ica Maxi,Borlänge,x,"","","","",60.48194,15.44778
Fågelmyra (ÅVC),Borlänge,x,"","","",x,60.52833,15.50278
Mellsta Rondellen,Borlänge,x,x,x,x,x,60.50639,15.38944
Skroten Torsång,Torsång,x,x,x,x,x,60.46583,15.56444
Ok/Q8,Borlänge,x,x,x,x,x,60.48361,15.44750
"Aspebodgårdens p-plats, sockenstugan",Aspeboda,x,x,x,x,x,60.55750,15.49778
"Bussterminalen, Bjursås",Bjursås,x,x,x,x,x,60.73472,15.43861
Danholn,Danholn,x,x,x,x,x,60.62111,15.79389
Rönndalen,Enviken,x,x,x,x,x,60.80833,15.75028
City Gross,Falun,x,x,x,x,x,60.57611,15.60694
Samuelsdal,Falun,x,"",x,x,x,60.58722,15.61889
"Norslund, Willys",Falun,x,x,x,x,x,60.59972,15.66444
"Lustigknopp, vid Handlarn",Falun,x,x,x,x,x,60.61556,15.63694
Källviken,Falun,x,x,x,x,x,60.57361,15.64972
"Kvarnberget, vid Konsum Marknad",Falun,x,x,x,x,x,60.59444,15.64583
Korsnäs,Falun,x,x,x,x,x,60.58667,15.70444
Järnet,Falun,x,x,x,x,x,60.59861,15.63028
Järliden,Falun,x,x,x,x,x,60.61444,15.65889
