Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
"Ändhållplats Överby, Resarö",Resarö,x,"","","",x,59.43694,18.31111
"Färjeläge Vaxholm, busshållplats, Rindö",Rindö,x,x,"",x,x,59.40417,18.36667
"Färjeläge Värmdö, Rindö",Rindö,x,"","","",x,59.39583,18.44028
"Lanthandel, Rindö",Rindö,x,"","","",x,59.39528,18.39861
Bogesunds Gård,Vaxholm,x,"","","","",59.40028,18.33306
"Kullaskogsvägen, vändplan",Vaxön,x, , , ,x,59.40639,18.31667
Storstugan,Vaxön,x, , , ,x,59.33861,18.07000
Eriksövägen/Petersbergsvägen,Vaxön,x, , , ,x,59.40444,18.32500
Färjeterminal,Vaxön,x, , , ,x,59.40056,18.34944
Karl Martins Väg 20-22,Vaxön,x,"","","",x,59.40333,18.31944
ICA Fyren,Vaxön,x, , , ,x,59.40222,18.33306
Karl Martins väg mem 19-21,Vaxön,"","","","",x,59.42639,18.32250
Kullasundsvägen 4-52,Vaxön,x, , , ,x,59.40528,18.31472
Kungsgatan/Pilgatan,Vaxön,x, , , ,x,59.40306,18.33583
Norrhamnsplan,Vaxön,x, , , ,x,59.40444,18.35139
Blynäsvägen/Eriksövägen parkering,Vaxön,x,x,x,x,x,59.40556,18.32111
Statoil,Vaxön,x,x,x,x,x,59.40278,18.32583
"Vivo Waxholm, p-plats mittemot",Vaxön,x, , , ,x,59.40278,18.34278
"Parkkiosken, p-plats",Vaxön,x,"","","",x,59.40417,18.34639
"Kullön, Naturresarvat, parkeringen",Vaxön,x,x,x,x,x,59.41417,18.30944
Vaxholm (ÅVC),Vaxholm,x,x,x,x,x,59.40806,18.33222
Utanför Djurö ÅVC,Djurö,x,x,x,x,x,59.30278,18.67722
Bullandö Marina,Bullandö,x,x,x,x,x,59.30028,18.65111
p.plats kajen längst bort på Sollenkrokavägen,Djurö,x,"","","",x,59.37250,18.69861
p-plats Grisslingebadet,Grisslinge,x,x,x,x,x,59.31306,18.45250
"Vändplan Skyttevägen, Munkmora",Gustavsberg,x,x,x,x,x,59.33361,18.39889
Stora parkeringen,Gustavsberg,x,x,x,x,x,59.32861,18.39333
Hemmesta Centrum,Hemmesta,x,x,x,x,x,59.32278,18.48722
"Fyren Holmviksskogen, Gustavsberg",Gustavsberg,x,x,x,x,x,59.31806,18.40889
Brunn Centrum,Ingarö,x,x,x,x,x,59.28250,18.42694
Långvik,Ingarö,x,x,x,x,x,59.24306,18.50861
Bussvändplats,Södra Kopparmora,x,x,x,x,x,59.33889,18.58250
"ICA, Stavsnäs",Stavsnäs,x,x,x,x,x,59.28694,18.68806
Farstaviken,Gustavsberg,x,x,x,x,x,59.32444,18.38528
"Styrmannen, Gustavsberg",Gustavsberg,x,x,x,x,x,59.33861,18.39444
Posten,Djurö,x,x,x,x,x,59.31139,18.70083
"Östra Ekedal, Gustavsberg",Gustavsberg,x,x,x,x,x,59.32833,18.37472
Stavsnäs vinterhamn,Stavsnäs,x,x,x,x,x,59.28611,18.70278
Farsta Slottsvik,Gustavsberg,x,x,x,x,x,59.32111,18.37389
Hästhagen,Gustavsberg,x,x,x,x,x,59.32222,18.39444
Nämdö Sand,Nämdö,x,"","","","",59.98639,18.31167
Coop Forum Charlottendal,Gustavsberg,x,x,x,x,x,59.30889,18.38333
"Lidl, Mölnviks handelsplats",Gustavsberg,x,x,x,x,x,59.31194,18.42361
Brunn Ingarö,Ingarö,x,x,x,x,x,59.28722,18.41306
Hemmestatorp,Värmdö,x,x,x,x,x,59.32889,18.50083
Fågelbro pendlarparkering,Fågelbro,x,x,x,x,x,59.28194,18.57028
Nämdö Solviks brygga,Nämdö Sand,x, , , , ,59.19778,18.69528
"Margretelunds Centrum, Favan",Margretelund,x,x,x,x,x,59.47250,18.33139
Rydbo Station,Rydbo,x,x,x,x,x,59.46528,18.18472
Åkersberga IP (Kungsängen),Tuna,x,x,x,x,x,59.47278,18.29639
Flaggfabriken/Stationsvägen 24,Åkersberga,x,x,x,x,x,59.47528,18.30861
Färjelägret Ljusterö,Ljusterö,x,x,x,x,x,59.54000,18.59278
Willy:s,Åkers Runö,x,x,x,x,x,59.48139,18.28194
Svinninge Marina,Svinninge,x, , , ,"",59.45694,18.27833
Lastbilsparkeringen,Hacksta,x,x,x,x,x,59.48611,18.29611
Festplats Granliden,Ljusterö,x,x,x,x,x,59.48361,18.54028
Brännbackens (ÅVC),Österåker,x,x,x,x,x,59.50639,18.37333
Manfred Bondes Väg,Åkersberga,x,x,x,x,x,59.47389,18.34611
Skärgårdsstan p-plats IP,Åkersberga,x,x,x,x,x,59.49278,18.38222
Lerviksvägen singel tidning,Åkersberga,"","","","",x,59.46111,18.36167
Singel Tidning,Åkersberga,"","","","",x,59.47528,18.35083
Singel tidning,Österskär,"","","","",x,59.46861,18.30250
Svinninge Handel,Åkersberga,x,x,x,x,x,59.44556,18.26306
"Gummihuset, Ekeby",Eskilstuna,x,x,x,x,x,59.37556,16.43944
ICA Ekängen,Eskilstuna,x,x,x,x,x,59.37306,16.55444
Grusplanen,Borsökna,x,x,x,x,x,59.34806,16.43917
Husbybyn,Skogstorp,x,x,x,x,x,59.31778,16.46722
Q-star,Hållsta,x,x,x,x,x,59.29139,16.45806
Kjula affär,Kjulaås,x,x,x,x,x,59.38500,16.67861
"Ica Bron, Kvicksund",Kvicksund,x,x,x,x,x,59.45056,16.32194
Odlaren,Eskilstuna,x,x,x,x,x,59.35806,16.53556
Hemköp Tivoliallén,Eskilstuna,x,x,x,x,x,59.37472,16.52806
Coop Konsum Triangeln,Eskilstuna,x,x,x,x,x,59.35944,16.51667
Valhalla,Eskilstuna,x,x,x,x,x,59.38667,16.50306
OKQ8,Eskilstuna,x,x,x,x,x,59.37806,16.51833
Årby centrum,Eskilstuna,x,x,x,x,x,59.38194,16.52250
"OK, Fröslunda",Eskilstuna,x,x,x,x,x,59.35694,16.49889
Glömsta,Torshälla,x,x,x,x,x,59.40722,16.48917
Helgesta,Eskilstuna,x,x,x,x,x,59.39000,16.50389
Vid järnvägen,Eskilstuna,x,x,x,x,x,59.36528,16.52278
Vid daghemmet,Hällbybrunn,x,x,x,x,x,59.38972,16.41667
Stationsvägen/Hällbyvägen,Eskilstuna,x,x,x,x,x,59.39111,16.43417
Lindhaga,Eskilstuna,x,x,x,x,x,59.39000,16.48528
Mesta centrum,Mesta,x,x,x,x,x,59.34972,16.44972
"Myrtorp, Linnéparken",Eskilstuna,x,x,x,x,x,59.35889,16.49194
Nyfors,Eskilstuna,x,x,x,x,x,59.36944,16.50306
"Spelmansplan, Röksta",Eskilstuna,x,x,x,x,x,59.38083,16.53361
Skiftinge centrum,Eskilstuna,x,x,x,x,x,59.39028,16.53694
Slagsta centrum,Eskilstuna,x,x,x,x,x,59.39306,16.49028
ICA Stenby centrum,Eskilstuna,x,x,x,x,x,59.35667,16.47639
Bakom affären,Stora Sundby,x,x,x,x,x,59.27861,16.11611
Ringvägen,Torshälla,x,x,x,x,x,59.42667,16.47778
Väsbyholm Mälarbaden,Torshälla,x,x,x,x,x,59.44278,16.45139
"Konsum, Ärla",Ärla,x,x,x,x,x,59.28250,16.67611
Ärsta,Eskilstuna,x,x,x,x,x,59.39639,16.54222
Gesällgränd,Torshälla,x,x,x,x,x,59.41750,16.47194
ICA Safiren,Eskilstuna,x, , , , ,59.37222,16.52111
Rinmansskolan,Eskilstuna,x, , , , ,59.37167,16.50389
Tuna Park ,Eskilstuna,x,x,x,x,x,59.37500,16.47056
Orkestervägen,Eskilstuna,x,x,x,x,x,59.39972,16.47389
Kungsbackavägen,Bettna,x,x,x,x,x,58.90389,16.64611
Vasagatan,Flen,x,x,x,x,x,59.05528,16.58667
Lötvägen,Flen,x,x,x,x,x,59.05444,16.60333
ICA Kvantum,Flen,x,x,x,x,x,59.05972,16.59333
Willys,Flen,x,x,x,x,x,59.06278,16.59250
Torsbovägen,Hälleforsnäs,x,x,x,x,x,59.15361,16.49444
"Malmheden, Malmköping",Malmköping,x,x,x,x,x,59.13611,16.72722
Trädgårdsgatan,Malmköping,x,x,x,x,x,59.13167,16.72528
Domarvägen,Mellösa,x,x,x,x,x,59.10167,16.56417
"Föreningsgården, Skebokvarn",Skebokvarn,x,x,x,x,x,59.06417,16.71444
"Tempo, Sparreholm",Sparreholm,x,x,x,x,x,59.07056,16.82556
Brogetorp,Flen,x,x,x,x,x,59.06472,16.59833
"Grönviksvägen, Hälleforsnäs",Hälleforsnäs,"",x, , ,x,59.15639,16.50361
Dunkers Skola,Flen,"",x, , ,x,59.16528,16.81222
Frutorp (ÅVC),Flen,x,x,x,x,"",59.07028,16.63389
Grusplan Variagatan ,Flen,x,x,x,x,x,59.05583,16.57667
Busstorget,Björnlunda,x,x,x,x,x,59.06389,17.15972
"Elektron, bakom Odal",Gnesta,x,x,x,x,x,59.04917,17.30583
Återvinningsgård (ÅVC),Gnesta,x,x,x,x,x,59.05500,17.29306
Stopp Stormarknad,Gnesta,x,x,x,x,x,59.03917,17.32583
"Laxne, Mariefredsvägen",Laxne,x,x,x,x,x,59.16833,17.18583
ICA Strandhallen,Stjärnhov,x,x,x,x,x,59.07889,17.01139
Vid Äldreboendet,Bie,x,x,x,x,x,59.09028,16.20778
Servicebutiken,Björkvik,x,x,x,x,x,58.83944,16.51500
Idrottshallen,Forssjö,x,x,x,x,x,58.95472,16.29694
ICA Äsköping,Julita,x,x,x,x,x,59.14972,16.06861
Coop Nära,Katrineholm,x,x,x,x,x,58.99806,16.20694
Paviljong Sveaparken,Katrineholm,x,x,x,x,x,58.99139,16.21611
Lyktan Forssjö Golv,Katrineholm,x,x,x,x,x,58.99111,16.16917
P-plats,Katrineholm,x,x,x,x,x,58.99389,16.21194
Kv Svärdsliljan,Katrineholm,x,x,x,x,x,58.99389,16.19972
P-plats,Katrineholm,x,x,x,x,x,58.98444,16.18583
P-plats,Katrineholm,x,x,x,x,x,58.98694,16.22972
Tempo,Valla,x,x,x,x,x,59.01944,16.37917
P-plats KFAB,Katrineholm,x,x,x,x,x,58.99722,16.21722
ICA Supermarket,Katrineholm,x,x,x,x,x,58.98778,16.17917
Isrinken Backavallen,Katrineholm,x,x,x,x,x,58.98333,16.20194
Vikatippen (ÅVC),Katrineholm,x,"","","","",59.01333,16.21528
Fotbollsplan,Sköldinge,x,x,x,x,x,59.02778,16.44889
Affären,Buskhyttan,x,x,x,x,x,58.66306,16.94000
Gamla stationen,Enstaberga,x,x,x,x,x,58.75056,16.84944
Vid järnvägen bakom centrum,Jönåker,x,x,x,x,x,58.74278,16.72250
Gamla brandstationen,Ludgo,x,x,x,x,x,58.92917,17.10111
P-plats öster,Nyköping,x,x,x,x,x,58.75639,17.01306
"Tempo Humlan, Bryngelstorp",Nyköping,x,x,x,x,x,58.75361,17.05250
Slutet av vägen Arnö,Nyköping,x,x,x,x,x,58.72778,17.02278
"Västra Trädgårdsgatan/Repslagaregatan, p-plats väster",Nyköping,x,x,x,x,x,58.75472,17.00444
Tessinområdet,Nyköping,x,x,x,x,x,58.75139,17.02778
Hemgårdsområdet,Nyköping,x,x,x,x,x,58.75278,16.99056
"ICA, p-plats mittemot",Nyköping,x,x,x,x,x,58.75694,17.03917
ICA Supermarket Oppeby,Nyköping,x,x,x,x,x,58.76972,16.98639
"Folkungavallen, Gullans Kiosk",Nyköping,x,x,x,x,x,58.75833,17.00028
Centralstation,Nyköping,x, , , , ,58.75556,16.99444
Öppen Hand Brandkärr,Nyköping,x,x,x,x,x,58.76556,17.00833
Coop Forum,Nyköping,x,x,x,x,x,58.77056,17.02333
Oppeby torg,Nyköping,x, , , ,"",58.76944,16.98056
"Rosvalla, IP",Nyköping,x,x,x,x,x,58.74750,17.04750
Västra Trädgårdsgatan/ Västra Kvarngatan,Nyköping,x, , , , ,58.76806,17.00750
Centrum,Nävekvarn,x,x,x,x,x,58.63111,16.80361
Reningsverket,Runtuna,x,x,x,x,x,58.86917,17.07278
Råby skola,Råby,x,x,x,x,x,58.87111,16.89444
Gamla stationen,Sjösa,x,x,x,x,x,58.78306,17.09944
"Stavsjö Bruk, 200m ifrån",Stavsjö,x,x,x,x,x,58.72444,16.42694
Tuna motell,Svalsta,x,x,x,x,x,58.74083,16.86417
Bussvändslinga,Ålberga,x,x,x,x,x,58.72472,16.57389
"Träffen, Folkets Park",Nyköping,x,x,x,x,x,58.76139,17.02278
Innan kyrkan,Vrena,x,x,x,x,x,58.85944,16.70222
Björshults avfallsanläggning (ÅVC),Nyköping,x,x,"",x,x,58.71222,16.99333
Lidl Spelhagsvägen,Nyköping,x,x,x,x,x,58.74278,17.00667
Bakom Coop,Tystberga,x,x,x,x,x,58.84833,17.23778
ICA Tängsta,Stigtomta,x,x,x,x,x,58.80472,16.78250
Tempo Sundstigen/Sundavägen,Oxelösund,x,x,x,x,x,58.67583,17.06528
P-plats Ramdalsanläggningen,Oxelösund,x,x,x,x,x,58.67222,17.07694
"Peterslund, fd kiosk",Oxelösund,x,x,x,x,x,58.68361,17.04639
Norra Malmgatan,Oxelösund,x,x,x,x,x,58.67444,17.10778
ÅVC vid Kommunförrådet,Oxelösund,x,x,x,x,x,58.67722,17.11472
"Frösäng, Frösängsgården vid husvagnsparkering",Oxelösund,x,x,x,x,x,58.67639,17.08722
Centrum p-plats under Hamnbron,Oxelösund,x,x,x,x,x,58.66833,17.10417
Netto Marknad,Oxelösund,x,x,x,x,x,58.67194,17.09806
Jogersö camping,Oxelösund,x, , , , ,58.66611,17.05667
Gästhamnen,Oxelösund,x, , , , ,58.66583,17.10389
Park,Mariefred,x,x,x,x,x,59.26556,17.21278
Konsum Brandstationen,Mariefred,x,x,x,x,x,59.26194,17.22111
Ga: Konsum. Thai Restaurang,Stallarholmen,x,x,x,x,x,59.36083,17.20556
P-plats,Strängnäs,x,x,x,x,x,59.36389,17.03611
Granbecks Livs,Fogdö,x,x,x,x,x,59.42944,16.87778
Vårdcentralen,Strängnäs,x,x,x,x,x,59.36694,17.02556
Vasavallen,Strängnäs,x,x,x,x,x,59.37611,17.00833
Tosterö Livs,Strängnäs/Tosterö,x,x,x,x,x,59.38417,17.03944
P-plats,Strängnäs/Sundby,x,x,x,x,x,59.38139,17.04889
ICA Joker,Åkers Styckebruk,x,x,x,x,x,59.25528,17.10333
P-plats,Mariefred,x,"","","","",59.26306,17.23472
Nygatan 4,Strängnäs,x,x,x,x,x,59.37639,17.02417
Kvitten (ÅVC),Strängnäs,x,x,x,x,x,59.37528,16.99639
Infart till båtklubb,Trosa,x,x,x,x,x,58.90000,17.52972
Nyängsv 8,Trosa,x,x,x,x,x,58.90583,17.54861
Brovägen/Ringvägen,Vagnhärad,x,x,x,x,x,58.94333,17.50194
Fagerängs Förskola,Vagnhärad,x,x,x,x,x,58.94667,17.48444
Busshållplats,Västerljung,x,x,x,x,x,58.91806,17.43917
P-plats centrum,Trosa,x,x,x,x,x,58.89778,17.55028
"ICA Centrum, Stallgränd",Trosa,x, , , , ,58.89667,17.54778
Källviks Brygga,Trosa,x, , , , ,58.77833,17.50389
Ådafritid,Trosa,x,"","","","",58.91556,17.54750
Stensund,Trosa,x,"","","","",58.90194,17.60722
Krymla,Trosa,x,"","","","",58.89611,17.58611
Hamnen,Trosa,x,x,x,x,x,58.89111,17.55306
Västra Hamnplan,Trosa,x,"","","","",58.89389,17.55694
Tofsö,Trosa,x,"","","","",58.80444,17.43639
Viksnäs,Trosa,x,"","","","",58.82917,17.46750
Gisekvarn,Trosa,x,"","","","",58.88083,17.40111
Korslöts ÅVC i Vagnhärad,Vagnhärad,x,x,x,x,x,58.94417,17.53750
Öbolandet,Trosa,x,x,x,x,x,58.88694,17.55750
Lagnö,Trosa,x,x,x,x,x,58.86861,17.54500
Järnvägsparkeringen,Vagnhärad,x,x,x,x,x,58.94667,17.50111
"Affären, Baggetorp",Baggetorp,x,x,x,x,x,59.00861,16.06472
P-plats Konsum,Högsjö,x,x,x,x,x,59.02750,15.66944
P-plats Campingen,Läppe,x,x,x,x,x,59.13028,15.80611
"Folke Angers väg/Ekebergsvägen, Marmorbyn",Marmorbyn,x,x,x,x,x,59.04722,16.06722
Lastbilscentralen (LBC) (Söder),Vingåker,x,x,x,x,x,59.03833,15.86528
"Gamla brandstationen, Lindberga",Österåker/ Vingåkers kommun,x,x,x,x,x,59.12444,15.98639
Hackstavägen 17 (norr),Vingåker,x,x,x,x,x,59.05667,15.87528
P-plats järnvägsbron (centrum),Vingåker,x,x,x,x,x,59.04194,15.87111
Viktippen (ÅVC),Vingåker,x,x,x,x,"",59.08722,15.91750
P-plats Fannakiosken,Enköping,x,x,x,x,x,59.63972,17.10083
Grillby,Grillby,x,x,x,x,x,59.62583,17.25278
Lastbilsparkeringen (fd Hummelsta livs),Hummelsta,x,x,x,x,x,59.62722,16.94806
"Coop Forum, p-plats",Enköping,x,x,x,x,x,59.63194,17.08306
Havsörnsgatan,Enköping,x,x,x,x,x,59.64694,17.06028
"Närbutiken, Lillkyrka",Lillkyrka,x,x,x,x,x,59.56056,17.24611
"OKQ8, Skolsta",Skolsta,x,x,x,x,x,59.66028,17.24083
"Örsundsbro, bakom ICA",Örsundsbro,x,x,x,x,x,59.73528,17.31083
Vid värmeverket,Enköping,x,x,x,x,x,59.64583,17.07222
Havsörnsgatan  200,Enköping,"",x, , ,x,59.64250,17.05417
Verkmästaregatan,Enköping,"",x,"","",x,59.65000,17.06944
Haga Slott,Enköping,"",x,"","",x,59.60250,17.05028
"Ica, Västerleden",Enköping,x,"","","","",59.64028,17.06139
Återbruket (ÅVC),Enköping,x,x,x,x,x,59.62833,17.08028
Lantmännen,Fjärdhundra,x,x,x,x,x,59.77694,16.92694
ICA MAXI,Enköping,x,x,x,x,x,59.65250,17.08611
Harbo Forsbovägen,Harbo,x,x,x,x,x,60.10667,17.19722
Heby Bangatan-Brogatan P-plats,Heby,x,x,x,x,x,59.93889,16.86444
Heby Stationsvägen,Heby,x,x,x,x,x,59.94028,16.84917
Huddunge Affären Lunda Handel,Huddungeby,x,x,x,x,x,60.04944,16.98306
Morgongåva Brunkullsvägen,Morgongåva,x,x,x,x,x,59.93278,16.96611
Runhällen f.d. Järnvägsområdet,Runhällen,x,x,x,x,x,60.02556,16.82222
Tärnsjö Stationsgatan,Tärnsjö,x,x,x,x,x,60.15778,16.92917
Vittinge Ösbyvägen,Vittinge,x,x,x,x,x,59.90278,17.06250
Östervåla Åbyvägen Torget,Östervåla,x,x,x,x,x,60.18111,17.18250
Återbruket Heby (ÅVC),Heby,x,x,x,x,x,59.93472,16.86056
Återbruket Östervåla (ÅVC),Östervåla,x,x,x,x,x,60.17472,17.18278
Ol-Jansvägen,Östervåla ,x,x,x,x,x,60.18417,17.16833
Smultronstället Närlivs,Bålsta,x,x,x,x,x,59.56111,17.51000
"Centrumleden/Badhusvägen, Simhallen",Bålsta,x,x,x,x,x,59.56639,17.52444
Gamla järnvägsstationen,Bålsta,x,x,x,x,x,59.57778,17.51250
Åsleden/Fagerdalsvägen,Bålsta,x,x,x,x,x,59.58000,17.51389
Shell,Bålsta,x,x,x,x,x,59.58417,17.50444
"Krägga, Kräggavägen",Nyckelby,x,x,x,x,x,59.60278,17.42889
Skolhyddan,Bålsta,x,x,x,x,x,59.54750,17.50500
"Skokloster, Slottsskogen/Bassängen",Skokloster,x,x,x,x,x,59.69417,17.60806
"Skokloster, Söderskogen",Skokloster,x,x,x,x,x,59.67889,17.58444
"Övergran, Ridhuset",Nyckelby,x,x,x,x,x,59.63028,17.48417
Skörby Skog,Bålsta,x,x,x,x,x,59.56972,17.48722
Dyarne,Bålsta,x,x,x,x,x,59.55833,17.53417
Västerskog (ÅVC),Bålsta,x,x,x,x,x,59.57944,17.48944
"Alsike, Alsike Centrum(Bageriparkeringen)",Knivsta,x,x,x,x,x,59.75778,17.76194
"Husby-Långhundra, Blå Wingen",Knivsta,x,x,x,x,x,59.75222,18.03611
Centralvägen Norra delen,Knivsta,x,x,x,x,x,59.73028,17.78528
Gredelbyvägen ,Knivsta,x,x,x,x,x,59.73722,17.80000
Alsike Norra,Knivsta,x,x,x,x,x,59.75778,17.77722
"Ängby Park, Vändplan vid Folkets Park",Knivsta,x,x,x,x,x,59.72444,17.77583
"Knivsta, Bouleplan",Knivsta,x,x,x,x,x,59.72611,17.80167
ICA Kastbergs Livs ,Edvalla,x,"","","","",60.53139,17.83889
Konsum,Karlholm,x,x,x,x,x,60.51972,17.62500
Shell macken (mittemot),Kyrkbyn,x,x,x,x,x,60.30028,17.46667
Bilverkstaden,Mehedeby,x,x,x,x,x,60.44917,17.40556
Månkarbovägen,Månkarbo,x,x,x,x,x,60.22833,17.46194
ICA Torget,Skärplinge,x,x,x,x,x,60.47083,17.76028
ICA-hallen Centrum,Söderfors,x,x,x,x,x,60.38861,17.24333
OK/Q8,Tierp,x,x,x,x,x,60.33917,17.51806
COOP Konsum,Tierp,x,x,x,x,x,60.34528,17.51556
Tobo,Tobo,x,x,x,x,x,60.25861,17.65083
Affärscentrum,Örbyhus,x,x,x,x,x,60.22528,17.70611
Gatmot tippen (ÅVC),Tierp,x,x,x,x,x,60.29083,17.57861
Skärplinge (ÅVC),Skärplinge,x,x,x,x,x,60.48028,17.75361
Söderfors (ÅVC),Söderfors,x,x,x,x,x,60.39222,17.23083
Tierp (ÅVC),Tierp,x,x,x,x,x,60.34389,17.52556
Lidl,Tierp,x,x,x,x,x,60.34278,17.50944
"Almunge, ICA",Almunge,x,x,x,x,x,59.86944,18.07056
"Björklinge, Parkering Björklinge Centrum",Björklinge,x,x,x,x,x,60.02861,17.55250
"Bälinge, ICA Träff-Köp",Bälinge,x,x,x,x,"",59.94611,17.53333
"Gunsta, Trädgårdsmästeriet",Uppsala,x,x,x,x,x,59.85444,17.82722
"Handlarn , Oxsätra",Oxsätra,x,x,x,x,x,60.00167,17.36167
"Ramstalund, Reningsverket",Uppsala,x,x,x,x,x,59.79583,17.44278
Räddningstjänsten Skyttorp,Skyttorp,x,x,x,x,x,60.07722,17.73944
"Storvreta, ICA Solen",Storvreta,x,x,x,x,x,59.95444,17.69111
COOP Forum,Uppsala,x,x,x,x,x,59.84583,17.69278
"Flogsta, ICA Supermarket",Uppsala,x,x,x,x,x,59.85139,17.58722
"Fålhagen, Willys",Uppsala,x,x,x,x,x,59.86500,17.66222
"Svamptorget, ICA Norby",Uppsala,x,x,x,x,x,59.82528,17.61861
Västertorg,Uppsala,x, , , ,"",59.84056,17.60306
"Årsta Centrum, P-plats Årstahallen,",Uppsala,x,x,x,x,x,59.86500,17.68361
"Vallby, ICA Nära",Rasbo,x,x,x,x,x,59.94972,17.83083
Vattholma Livs ,Vattholma,x,x,x,x,x,60.01694,17.73278
P-plats,Vänge,x,x,x,x,x,59.85278,17.44583
"Ekeby,Konsum Nordengatan",Uppsala,x,x,x,x,x,59.85111,17.60500
"Torbjörns Torg, Konsum",Tuna Backar,x,x,x,x,x,59.87444,17.62361
"Tuna, Tuna Livs",Tuna,x,x,x,x,x,60.02306,18.06750
"Stenhagen, ICA Maxi",Uppsala,x,x,x,x,x,59.85000,17.55889
"P-plats Hjalmar Brantingsgatan,Salabacke",Uppsala,x,x,x,x,x,59.86778,17.66889
Björklinge (ÅVC),Björklinge,x,x,x,x,x,60.04083,17.54861
Gottsunda (ÅVC),Uppsala,x,x,x,x,x,59.81167,17.63472
Librobäck (ÅVC),Uppsala,x,x,x,x,x,59.87806,17.59472
Lövstalöt (ÅVC),Lövstalöt,x,x,x,x,x,59.96056,17.58056
"Boländerna, Spikgatan  (ÅVC)",Uppsala,x,x,x,x,x,59.84556,17.67944
Storvreta (ÅVC),Storvreta,x,x,x,x,x,59.96472,17.69694
Willys,Uppsala,x,x,x,x,x,59.88667,17.66139
Almunge (Utanför ÅVC),Almunge,x,x,x,x,x,59.87583,18.04722
Hovgården (ÅVC),Uppsala,x,x,x,x,x,59.92861,17.77500
Bolandscity,Uppsala,x,x,x,x,x,59.84556,17.68917
Liljefors Torg/Lidl,Uppsala,x,x,x,x,x,59.87056,17.65667
Ica Maxi Gnista,Uppsala,x,x,x,x,x,59.84444,17.71250
Gränby Centrum,Uppsala,x,x,x,x,x,59.87778,17.67028
Gottsunda Lidl,Uppsala,x,x,x,x,x,59.81056,17.62639
"Kungsängen, Willys",Uppsala,x,x,x,x,x,59.84889,17.65917
"Eriksberg, Karlsrogatan",Uppsala,x,x,x,x,x,59.84556,17.61083
"Luthagen, Fyrisskolan",Uppsala,x,x,x,x,x,59.86611,17.62278
P-plats IKEA,Uppsala,x,x,x,x,x,59.84972,17.69306
"Vilan, ICA Supermarket",Uppsala,x,x,x,x,x,59.82056,17.69639
"Gårdskärsvägen, Gårdskär",Gårdskär,x,x,x,x,x,60.60944,17.57528
"Kyrkstigen/Kronsätersvägen, Marma",Marma,x,x,x,x,x,60.49139,17.42778
"Willys, centrum, Skutskär",Skutskär,x,x,x,x,x,60.63000,17.41417
"Coop, Skutskär",Skutskär,x,x,x,x,x,60.62389,17.41611
"Älvkarleö Bruk, Industrihuset",Älvkarleö Bruk,x,x,x,x,x,60.54139,17.41806
Dragmossen (ÅVC),Älvkarleby,x,x,x,x,x,60.56222,17.49528
Panncentralen,Älvkarleby,x,x,x,x,x,60.57056,17.45861
Torpvägen,Alunda,x,x,x,x,x,60.06500,18.07694
Bygdegård,Ekeby,x, ,x,x,"",60.07194,18.19167
"Parkering vid Vårdcentralen, Torget",Gimo,x,x,x,x,x,60.17194,18.18472
ICA Sjöboden,Gräsö,x,x,x,x,"",60.34861,18.46250
Campingen,Gräsö,x,x,x,x,"",60.35222,18.44778
vid FD butiken,Hargshamn,x,x,x,x,x,60.17028,18.46194
Länsökiosken,Sandika,x, , , , ,60.23333,18.43361
Konsum,Öregrund,x,x,x,x,x,60.33722,18.44028
Konsum,Öregrund,x,"","","","",60.33722,18.44028
Käbboda,Österbybruk,x, , , , ,60.19083,17.88389
ICA Torget,Österbybruk,x,x,x,x,x,60.19611,17.89444
ICA,Östhammar,x,"","","","",60.26028,18.37194
"Brunnsskolan, Konsum",Östhammar,x,x,x,x,x,60.25778,18.37306
Coop,Östhammar,x,x,x,x,x,60.24806,18.34889
Ishallen,Östhammar,x,x,x,x,x,60.26111,18.36222
Kommunförrådet (utanför ÅVC),Öregrund,x,x,x,x,x,60.33444,18.43667
"Preem, Uppsalavägen",Gimo,x,x,x,x,x,60.16861,18.19500
Statoil/Gamla Vägen,Norrskedika,x,x,x,x,x,60.28444,18.29139
Östhammar  (ÅVC),Östhammar,x,x,x,x,x,60.24944,18.35472
Södra Industriområdet  (ÅVC),Alunda,x,x,x,x,x,60.06500,18.06111
Väddika avfallsanläggning (ÅVC),Hökhuvud,x,x,x,x,x,60.19972,18.23528
"Gimo Bruksgatan, Herrgården",Östhammar,x, , , , ,60.17889,18.17444
Brukshandeln Forsmark,Forsmark,x,x,x,x,"",60.36833,18.15389
Österbybruk (ÅVC),Österbybruk,x,x,x,x,x,60.19056,17.88417
Arvika Prästängen,Arvika,x,x,x,x,x,59.66083,12.56028
"Jössefors, Industriområde Sulfiten 2",Jössefors,x,x,x,x,x,59.67083,12.49083
Vikene Konsum Vikene 1:143,Vikene,x,x,x,x,x,59.66333,12.88333
Klässbol Linnevi Norra Klässbol 1:228,Klässbol,x,x,x,x,x,59.53639,12.75333
Mangskog Lundby Livs Västra Takene 1:42,Mangskog,x,x,x,x,x,59.75333,12.82333
"Arvika Palmviken, Haga 1:6",Arvika,x,x,x,x,x,59.65500,12.58389
Arvika Sjukhuset Taserud,Arvika,x,x,x,x,x,59.66722,12.61556
Arvika ,Arvika,x,x,x,x,x,59.65861,12.60472
Sulvikingen Sulvik 10:1,Sulvik,x,x,x,x,x,59.67611,12.41611
